quarter_cad_number,centroid_lon,centroid_lat,distance_m
78:10:0005203,30.388071132410857,59.99803899245931,1453.1989012269837
78:10:0005204,30.38141850817138,59.99922080555514,1570.8915762525223
78:10:0005208,30.38629276730059,60.00460797263311,975.1503061303243
78:10:0005209,30.39438842324531,60.00480608920553,627.1103822210085
78:10:0005210,30.387997301366198,60.011865782349886,773.9996257491116
78:10:0005211,30.407528171658647,60.0161259793166,836.7449835674936
78:10:0005212,30.396155769811877,60.01898731933662,1103.7177790301455
78:10:0005217,30.42048601433138,60.01292739190449,1159.2980174681265
78:10:0005218,30.41360776513436,60.00663710357026,769.1939094577818
78:10:0005224,30.43082705342407,60.00849061699415,1669.5509661542692
78:10:0005225,30.43305007492609,59.9950557950965,2398.5753938873486
78:10:0522301,30.42917599761159,60.00209345866198,1771.4225943018196
